NestID,SiteID,Year,Date,Assay,Fledged,NumberFledged,NestStage,male_raw,Male,female_raw,Female,rfit
1,1,2018,6/25/2018,1,1,2,2Incubating,5,-1.709975947,5,-1.709975947,1.577777778
1,1,2018,7/20/2018,4,1,2,3Provisioning,2,-1.25992105,15,-2.466212074,NA
1,1,2018,7/26/2018,5,1,2,3Provisioning,51,-3.708429769,8,-2,NA
1,1,2018,8/2/2018,6,1,2,3Provisioning,8,-2,8,-2,NA
1,1,2018,8/13/2018,7,1,2,3Provisioning,8,-2,3,-1.44224957,NA
3,3,2018,7/19/2018,2,0,0,3Provisioning,3,-1.44224957,15,-2.466212074,0
8,8,2018,6/12/2018,1,1,2,2Incubating,5,-1.709975947,10,-2.15443469,1.577777778
8,8,2018,8/6/2018,3,1,2,3Provisioning,1,-1,15,-2.466212074,NA
12,12,2018,6/11/2018,1,0,0,1Laying,25,-2.924017738,25,-2.924017738,0
18,18,2018,6/26/2018,1,1,3,2Incubating,20,-2.714417617,5,-1.709975947,2.366666667
18,18,2018,7/12/2018,3,1,3,2Incubating,20,-2.714417617,6,-1.817120593,NA
18,18,2018,7/20/2018,4,1,3,3Provisioning,10,-2.15443469,3,-1.44224957,NA
22,22,2018,6/8/2018,1,1,3,1Laying,5,-1.709975947,40,-3.419951893,2.366666667
22,22,2018,6/12/2018,2,1,3,1Laying,10,-2.15443469,15,-2.466212074,NA
22,22,2018,7/17/2018,3,1,3,3Provisioning,8,-2,10,-2.15443469,NA
23,23,2018,6/12/2018,1,1,1,1Laying,15,-2.466212074,30,-3.107232506,0.788888889
23,23,2018,7/17/2018,2,1,1,3Provisioning,25,-2.924017738,3,-1.44224957,NA
23,23,2018,8/7/2018,4,1,1,3Provisioning,30,-3.107232506,8,-2,NA
29,29,2018,6/8/2018,1,0,0,1Laying,10,-2.15443469,10,-2.15443469,0
29,29,2018,6/12/2018,2,0,0,1Laying,20,-2.714417617,30,-3.107232506,NA
30,30,2018,6/13/2018,1,0,0,1Laying,50,-3.684031499,5,-1.709975947,0
33,33,2018,6/22/2018,1,1,2,2Incubating,5,-1.709975947,15,-2.466212074,1.577777778
33,33,2018,6/28/2018,2,1,2,2Incubating,1,-1,5,-1.709975947,NA
33,33,2018,7/14/2018,4,1,2,2Incubating,2,-1.25992105,15,-2.466212074,NA
33,33,2018,8/15/2018,7,1,2,3Provisioning,1,-1,3,-1.44224957,NA
40,40,2018,6/11/2018,1,1,1,1Laying,30,-3.107232506,20,-2.714417617,0.788888889
